年度,事件名稱,災害類型,縣市,鄉鎮,村里,災害地點,速報連結,災害時間,審查會議日期
104,蘇迪勒颱風,土石流,新北市,烏來區,信賢里,北107線6.3k(烏砂溪),https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-009-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,三峽區,安坑里,建安路130號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北三峽-004-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,三峽區,有木里,滿月圓第一停車場,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北三峽-003-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,沖蝕,新北市,三峽區,金圳里,金圳里金敏54-2號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北三峽-002-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,沖蝕,新北市,烏來區,烏來里,瀑布公園,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-003-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,沖蝕,新北市,烏來區,烏來里,烏來國中小,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-002-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,烏來區,忠治里,忠治里金堰113-2號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-007-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,"沖蝕,洪水",新北市,烏來區,烏來里,箱根苑溫泉會館,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-006-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,烏來區,信賢里,信福路6巷1號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-005-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,洪水,宜蘭縣,大同鄉,茂安村,志航橋(台7甲線12.5k),https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-宜蘭大同-002-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,"沖蝕,崩塌",新北市,新店區,廣興里,平廣路一段30號旁,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-010-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,洪水,新北市,新店區,廣興里,平廣路一段330號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-012-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,"沖蝕,崩塌",新北市,新店區,雙坑里,雙坑里雙峰路115號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-011-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,"土石流,洪水",新北市,新店區,廣興里,廣興路138巷21號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-009-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,沖蝕,新北市,烏來區,信賢里,信福路150號附近路段,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-004-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,烏來區,忠治里,日月光溫泉會館,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-001-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,沖蝕,臺北市,文山區,興旺里,福興路116號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-台北文山-001-(最).pdf,20150808,2016-01-04 00:00:00
104,其他,沖蝕,南投縣,仁愛鄉,精英村,投85線7k路段,https://246.swcb.gov.tw/AllFiles/PDF/104年其他-南投仁愛-001-(最).pdf,20150801,2016-01-04 00:00:00
103,鳳凰颱風,土石流,臺東縣,卑南鄉,溫泉村,玉霖橋,https://246.swcb.gov.tw/AllFiles/PDF/103年鳳凰颱風-台東卑南-001_最速報.pdf,20140921,2015-01-12 00:00:00
103,麥德姆颱風,土石流,宜蘭縣,南澳鄉,金洋村,宜57線0.8K,https://246.swcb.gov.tw/AllFiles/PDF/103年麥德姆颱風-宜蘭南澳-001_最速報.pdf,20140723,2015-01-12 00:00:00
103,麥德姆颱風,沖蝕,高雄市,杉林區,月眉里,桐竹路25號民宅,https://246.swcb.gov.tw/AllFiles/PDF/103年麥德姆颱風-高雄杉林-001_最速報.pdf,20140723,2015-01-12 00:00:00
103,麥德姆颱風,土石流,花蓮縣,萬榮鄉,馬遠村,台九線、瑞北,https://246.swcb.gov.tw/AllFiles/PDF/103年麥德姆颱風-花蓮萬榮-001_最速報.pdf,20140723,2015-01-12 00:00:00
103,哈吉貝颱風,土石流,臺東縣,大武鄉,大竹村,愛國蒲部落後方崩塌地,https://246.swcb.gov.tw/AllFiles/PDF/103年哈吉貝颱風-臺東大武-001_最速報.pdf,20140615,2015-01-12 00:00:00
102,菲特颱風,沖蝕,桃園市,復興區,華陵里,省道台7線49.5K,https://246.swcb.gov.tw/AllFiles/PDF/102年菲特颱風-桃園復興-001_最_.pdf,20131006,2014-01-09 00:00:00
102,菲特颱風,沖蝕,新竹縣,尖石鄉,錦屏村,錦屏玉峰聯絡道路(竹60線12K及12.5K),https://246.swcb.gov.tw/AllFiles/PDF/102年菲特颱風-新竹尖石-001_最_.pdf,20131006,2014-01-09 00:00:00
